ISBN10,avtor,naslov,cenaE,format,jezik,datum,ISBN13
0375423222,Heather Ann Thompson,Blood in the Water : The Attica Prison Uprising of 1971 and Its Legacy,"31,47",Hardback,English,23 Aug 2016,9780375423222
0375714839,Marjane Satrapi,The Complete Persepolis,"20,66",Paperback,English,16 Oct 2009,9780375714832
0375869026,R J Palacio,Wonder,"15,33",Hardback,English,14 Feb 2012,9780375869020
0385345623,Gina Homolka,"The Skinnytaste Cookbook : Light on Calories, Big on Flavor","30,97",Hardback,English,30 Sep 2014,9780385345620
0385486804,Jon Krakauer,Into the Wild,"10,71",Paperback,English,16 Dec 2011,9780385486804
0385494785,Jon Krakauer,Into Thin Air : A Personal Account of the Mount Everest Disaster,"13,01",Paperback,English,19 Oct 1999,9780385494786
0385536712,Jeffrey Toobin,"American Heiress : The Wild Saga of the Kidnapping, Crimes and Trial of Patty Hearst","24,78",Hardback,English,02 Aug 2016,9780385536714
0385542364,Colson Whitehead,The Underground Railroad (Oprah&#039;s Book Club),"22,58",Hardback,English,02 Aug 2016,9780385542364
0393081087,J. Kenji Lopez-alt,The Food Lab : Better Home Cooking Through Science,"47,95",Hardback,English,01 Nov 2015,9780393081084
0393317552,Jared M. Diamond,"Guns, Germs and Steel : The Fates of Human Societies","16,66",Paperback,English,17 Apr 1999,9780393317558
0393920305,Eric Foner,Give Me Liberty !: Volume 1 : An American History,"60,50",Paperback,English,20 Dec 2013,9780393920307
0393920313,Eric Foner,Give Me Liberty !: Volume 2 : An American History,"56,94",Paperback,English,13 Dec 2013,9780393920314
0393935809,Richard Bullock,The Little Seagull Handbook,"26,64",Spiral,English,14 Feb 2014,9780393935806
0393935841,Gerald Graff,&#034;They say/I Say&#034; : The Moves That Matter in Academic Writing,"23,00",Paperback,English,18 Mar 2014,9780393935844
0394747232,Art Spiegelman,Maus: My Father Bleeds History v. 1 : A Survivor&#039;s Tale,"13,62",Paperback,English,30 Sep 2011,9780394747231
0399178449,David Zinczenko,Zero Belly Smoothies : Lose Up to 16 Pounds in 14 Days and Sip Your Way to a Lean &amp; Healthy You!,"14,38",Paperback,English,28 Jun 2016,9780399178443
0399576223,James Carville,"We&#039;re Still Right, They&#039;re Still Wrong : The Democrats&#039; Case for 2016","20,52",Hardback,English,23 Aug 2016,9780399576225
0446310786,Harper Lee,To Kill a Mockingbird,"7,52",Paperback,English,05 May 2010,9780446310789
0451526341,George Orwell,Animal Farm,"6,60",Paperback,English,06 Apr 2004,9780451526342
